Team,Season,No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
Washington Wizards,2009-10,33,Mike Harris,PF,6-6,240,"June 15, 1983",1,Rice University
Washington Wizards,2009-10,33,Brendan Haywood,C,7-0,268,"November 27, 1979",8,UNC
Washington Wizards,2009-10,5,Josh Howard,SF,6-7,210,"April 28, 1980",6,Wake Forest
Washington Wizards,2009-10,9,Cedric Jackson,PG,6-3,191,"March 5, 1986",R,St. John's
Washington Wizards,2009-10,13,Mike James,PG,6-2,188,"June 23, 1975",8,Duquesne
Washington Wizards,2009-10,4,Antawn Jamison,PF,6-8,223,"June 12, 1976",11,UNC
Washington Wizards,2009-10,2,Shaun Livingston,PG,6-7,192,"September 11, 1985",4,
Washington Wizards,2009-10,20,Cartier Martin,SF,6-7,220,"November 20, 1984",1,Kansas State
Washington Wizards,2009-10,34,JaVale McGee,C,7-0,270,"January 19, 1988",1,Nevada
Washington Wizards,2009-10,5,Dominic McGuire,SF,6-9,220,"October 20, 1985",2,California
Washington Wizards,2009-10,6,Mike Miller,SG,6-8,218,"February 19, 1980",9,Florida
Washington Wizards,2009-10,21,Fabricio Oberto,C,6-10,245,"March 21, 1975",4,
Washington Wizards,2009-10,3,Quinton Ross,SG,6-6,195,"April 30, 1981",5,SMU
Washington Wizards,2009-10,22,James Singleton,PF,6-8,216,"July 20, 1981",3,Murray State
Washington Wizards,2009-10,2,DeShawn Stevenson,SG,6-5,210,"April 3, 1981",9,
Washington Wizards,2009-10,14,Al Thornton,SF,6-8,220,"December 7, 1983",2,Florida State
Washington Wizards,2009-10,1,Nick Young,SG,6-7,210,"June 1, 1985",2,USC
Utah Jazz,2009-10,5,Carlos Boozer,PF,6-9,258,"November 20, 1981",7,Duke
Utah Jazz,2009-10,9,Ronnie Brewer,SG,6-7,220,"March 20, 1985",3,Arkansas
Utah Jazz,2009-10,44,Kyrylo Fesenko,C,7-1,288,"December 24, 1986",2,
Utah Jazz,2009-10,15,Sundiata Gaines,PG,6-1,185,"April 18, 1986",R,Georgia
Utah Jazz,2009-10,6,Othyus Jeffers,SG,6-5,200,"August 5, 1985",R,University of Illinois at Chicago
Utah Jazz,2009-10,47,Andrei Kirilenko,SF,6-9,220,"February 18, 1981",8,
Utah Jazz,2009-10,26,Kyle Korver,SG,6-7,212,"March 17, 1981",6,Creighton
Utah Jazz,2009-10,41,Kosta Koufos,C,7-0,245,"February 24, 1989",1,Ohio State
Utah Jazz,2009-10,23,Wesley Matthews,SG,6-4,220,"October 14, 1986",R,Marquette
Utah Jazz,2009-10,3,Eric Maynor,PG,6-3,175,"June 11, 1987",R,VCU
Utah Jazz,2009-10,34,C.J. Miles,SF,6-6,220,"March 18, 1987",4,
Utah Jazz,2009-10,24,Paul Millsap,PF,6-7,257,"February 10, 1985",3,Louisiana Tech
Utah Jazz,2009-10,13,Mehmet Okur,C,6-11,249,"May 26, 1979",7,
Utah Jazz,2009-10,17,Ronnie Price,PG,6-2,190,"June 21, 1983",4,Nicholls State
Utah Jazz,2009-10,8,Deron Williams,PG,6-3,200,"June 26, 1984",4,Illinois
Toronto Raptors,2009-10,3,Marcus Banks,PG,6-2,200,"November 19, 1981",6,UNLV
Toronto Raptors,2009-10,7,Andrea Bargnani,PF,7-0,245,"October 26, 1985",3,
Toronto Raptors,2009-10,0,Marco Belinelli,SG,6-5,220,"March 25, 1986",2,
Toronto Raptors,2009-10,4,Chris Bosh,C,6-11,235,"March 24, 1984",6,Georgia Tech
Toronto Raptors,2009-10,8,José Calderón,PG,6-3,200,"September 28, 1981",4,
Toronto Raptors,2009-10,10,DeMar DeRozan,SG,6-6,220,"August 7, 1989",R,USC
Toronto Raptors,2009-10,30,Reggie Evans,PF,6-8,245,"May 18, 1980",7,Iowa
Toronto Raptors,2009-10,1,Jarrett Jack,PG,6-3,200,"October 28, 1983",4,Georgia Tech
Toronto Raptors,2009-10,15,Amir Johnson,PF,6-9,240,"May 1, 1987",4,
Toronto Raptors,2009-10,44,Pops Mensah-Bonsu,PF,6-9,240,"September 7, 1983",2,George Washington
Toronto Raptors,2009-10,12,Rasho Nesterović,C,7-0,248,"May 30, 1976",11,
Toronto Raptors,2009-10,13,Patrick O'Bryant,C,7-0,260,"June 20, 1986",3,Bradley
Toronto Raptors,2009-10,26,Hedo Türkoğlu,SF,6-10,220,"March 19, 1979",9,
Toronto Raptors,2009-10,24,Sonny Weems,SG,6-6,205,"July 8, 1986",1,Arkansas
Toronto Raptors,2009-10,21,Antoine Wright,SF,6-7,210,"February 6, 1984",4,Texas A&M
San Antonio Spurs,2009-10,45,DeJuan Blair,PF,6-7,270,"April 22, 1989",R,Pitt
San Antonio Spurs,2009-10,10,Keith Bogans,SF,6-5,215,"May 12, 1980",6,Kentucky
San Antonio Spurs,2009-10,15,Matt Bonner,PF,6-10,235,"April 5, 1980",5,Florida
San Antonio Spurs,2009-10,21,Tim Duncan,C,6-11,250,"April 25, 1976",12,Wake Forest
San Antonio Spurs,2009-10,4,Michael Finley,SF,6-7,215,"March 6, 1973",14,Wisconsin
San Antonio Spurs,2009-10,20,Manu Ginóbili,SG,6-6,205,"July 28, 1977",7,
San Antonio Spurs,2009-10,1,Malik Hairston,SG,6-6,220,"February 23, 1987",1,Oregon
San Antonio Spurs,2009-10,22,Marcus Haislip,SF,6-10,230,"December 22, 1980",3,Tennessee
San Antonio Spurs,2009-10,3,George Hill,PG,6-4,188,"May 4, 1986",1,IUPUI
San Antonio Spurs,2009-10,11,Cedric Jackson,PG,6-3,191,"March 5, 1986",R,St. John's
San Antonio Spurs,2009-10,24,Richard Jefferson,SF,6-7,233,"June 21, 1980",8,Arizona
San Antonio Spurs,2009-10,28,Ian Mahinmi,C,6-11,262,"November 5, 1986",1,
San Antonio Spurs,2009-10,8,Roger Mason,SG,6-5,200,"September 10, 1980",5,Virginia
San Antonio Spurs,2009-10,34,Antonio McDyess,PF,6-9,220,"September 7, 1974",13,Alabama
San Antonio Spurs,2009-10,9,Tony Parker,PG,6-2,185,"May 17, 1982",8,
San Antonio Spurs,2009-10,42,Theo Ratliff,C,6-10,225,"April 17, 1973",14,Wyoming
San Antonio Spurs,2009-10,2,Garrett Temple,SG,6-5,195,"May 8, 1986",R,LSU
Sacramento Kings,2009-10,8,Hilton Armstrong,C,6-11,235,"November 11, 1984",3,UConn
Sacramento Kings,2009-10,40,Jon Brockman,PF,6-7,255,"March 20, 1987",R,Washington
Sacramento Kings,2009-10,18,Omri Casspi,SF,6-9,225,"June 22, 1988",R,
Sacramento Kings,2009-10,15,Joey Dorsey,PF,6-8,268,"December 16, 1983",1,Memphis
Sacramento Kings,2009-10,13,Tyreke Evans,SG,6-6,220,"September 19, 1989",R,Memphis
Sacramento Kings,2009-10,32,Francisco García,SG,6-7,195,"December 31, 1981",4,Louisville
Sacramento Kings,2009-10,20,Donté Greene,SF,6-11,226,"February 21, 1988",1,Syracuse
Sacramento Kings,2009-10,31,Spencer Hawes,C,7-1,245,"April 28, 1988",2,Washington
Sacramento Kings,2009-10,24,Carl Landry,PF,6-9,248,"September 19, 1983",2,Vincennes University
Sacramento Kings,2009-10,23,Kevin Martin,SG,6-7,199,"February 1, 1983",5,Western Carolina University
Sacramento Kings,2009-10,24,Desmond Mason,SF,6-7,224,"October 11, 1977",9,Oklahoma State
Sacramento Kings,2009-10,42,Sean May,C,6-9,266,"April 4, 1984",3,UNC
Sacramento Kings,2009-10,7,Dominic McGuire,SF,6-9,220,"October 20, 1985",2,California
Sacramento Kings,2009-10,5,Andrés Nocioni,SF,6-7,225,"November 30, 1979",5,
Sacramento Kings,2009-10,10,Sergio Rodríguez,PG,6-3,176,"June 12, 1986",3,
Sacramento Kings,2009-10,17,Garrett Temple,SG,6-5,195,"May 8, 1986",R,LSU
Sacramento Kings,2009-10,9,Kenny Thomas,PF,6-7,261,"July 25, 1977",10,New Mexico
Sacramento Kings,2009-10,34,Jason Thompson,C,6-11,250,"July 21, 1986",1,Rider University
Sacramento Kings,2009-10,3,Ime Udoka,SG,6-6,215,"August 9, 1977",5,San Francisco
Sacramento Kings,2009-10,19,Beno Udrih,PG,6-3,205,"July 5, 1982",5,
Portland Trail Blazers,2009-10,12,LaMarcus Aldridge,PF,6-11,250,"July 19, 1985",3,Texas
Portland Trail Blazers,2009-10,31,Jeff Ayres,C,6-9,240,"April 29, 1987",R,Arizona State
Portland Trail Blazers,2009-10,88,Nicolas Batum,SF,6-8,230,"December 14, 1988",1,
Portland Trail Blazers,2009-10,4,Jerryd Bayless,SG,6-3,200,"August 20, 1988",1,Arizona
Portland Trail Blazers,2009-10,2,Steve Blake,PG,6-3,172,"February 26, 1980",6,Maryland
Portland Trail Blazers,2009-10,21,Marcus Camby,C,6-11,220,"March 22, 1974",13,UMass
Portland Trail Blazers,2009-10,33,Dante Cunningham,PF,6-8,230,"April 22, 1987",R,Villanova
Portland Trail Blazers,2009-10,27,Travis Diener,PG,6-1,175,"March 1, 1982",4,Marquette
Portland Trail Blazers,2009-10,5,Rudy Fernández,SG,6-6,185,"April 4, 1985",1,
Portland Trail Blazers,2009-10,6,Juwan Howard,C,6-9,240,"February 7, 1973",15,Michigan
Portland Trail Blazers,2009-10,24,Andre Miller,PG,6-3,200,"March 19, 1976",10,Utah
Portland Trail Blazers,2009-10,8,Patty Mills,PG,6-1,180,"August 11, 1988",R,Saint Mary's
Portland Trail Blazers,2009-10,52,Greg Oden,C,7-0,250,"January 22, 1988",1,Ohio State
Portland Trail Blazers,2009-10,25,Travis Outlaw,SF,6-9,210,"September 18, 1984",6,
Portland Trail Blazers,2009-10,10,Joel Przybilla,C,7-1,255,"October 10, 1979",9,Minnesota
Portland Trail Blazers,2009-10,42,Shavlik Randolph,PF,6-10,240,"November 24, 1983",4,Duke
Portland Trail Blazers,2009-10,7,Brandon Roy,SG,6-6,215,"July 23, 1984",3,Washington
Portland Trail Blazers,2009-10,44,Anthony Tolliver,PF,6-8,240,"June 1, 1985",1,Creighton
Portland Trail Blazers,2009-10,23,Martell Webster,SF,6-7,230,"December 4, 1986",4,
Phoenix Suns,2009-10,17,Lou Amundson,PF,6-9,220,"December 7, 1982",3,UNLV
Phoenix Suns,2009-10,10,Leandro Barbosa,PG,6-3,194,"November 28, 1982",6,
Phoenix Suns,2009-10,55,Earl Clark,PF,6-10,225,"January 17, 1988",R,Louisville
Phoenix Suns,2009-10,20,Jarron Collins,C,6-11,255,"December 2, 1978",8,Stanford
Phoenix Suns,2009-10,2,Goran Dragić,PG,6-3,190,"May 6, 1986",1,
Phoenix Suns,2009-10,3,Jared Dudley,SF,6-6,237,"July 10, 1985",2,Boston College
Phoenix Suns,2009-10,8,Channing Frye,C,7-0,255,"May 17, 1983",4,Arizona
Phoenix Suns,2009-10,32,Taylor Griffin,SF,6-7,238,"April 18, 1986",R,Oklahoma
Phoenix Suns,2009-10,33,Grant Hill,SF,6-8,225,"October 5, 1972",14,Duke
Phoenix Suns,2009-10,21,Dwayne Jones,PF,6-11,250,"June 9, 1983",4,Saint Joseph's
Phoenix Suns,2009-10,15,Robin Lopez,C,7-0,281,"April 1, 1988",1,Stanford
Phoenix Suns,2009-10,13,Steve Nash,PG,6-3,195,"February 7, 1974",13,Santa Clara
Phoenix Suns,2009-10,23,Jason Richardson,SG,6-6,220,"January 20, 1981",8,Michigan State
Phoenix Suns,2009-10,1,Amar'e Stoudemire,PF,6-10,245,"November 16, 1982",7,
Phoenix Suns,2009-10,29,Alando Tucker,SF,6-6,205,"February 11, 1984",2,Wisconsin
Philadelphia 76ers,2009-10,42,Elton Brand,PF,6-8,275,"March 11, 1979",10,Duke
Philadelphia 76ers,2009-10,7,Primož Brezec,C,7-2,252,"October 2, 1979",7,
Philadelphia 76ers,2009-10,25,Rodney Carney,SG,6-7,205,"April 15, 1984",3,Memphis
Philadelphia 76ers,2009-10,1,Samuel Dalembert,C,6-11,255,"May 10, 1981",7,Seton Hall
Philadelphia 76ers,2009-10,8,Francisco Elson,C,7-0,235,"February 28, 1976",6,California
Philadelphia 76ers,2009-10,33,Willie Green,SG,6-4,200,"July 28, 1981",6,Detroit Mercy
Philadelphia 76ers,2009-10,11,Jrue Holiday,PG,6-3,205,"June 12, 1990",R,UCLA
Philadelphia 76ers,2009-10,9,Andre Iguodala,SF,6-6,215,"January 28, 1984",5,Arizona
Philadelphia 76ers,2009-10,3,Allen Iverson,SG,6-0,165,"June 7, 1975",13,Georgetown
Philadelphia 76ers,2009-10,12,Royal Ivey,SG,6-3,200,"December 20, 1981",5,Texas
Philadelphia 76ers,2009-10,72,Jason Kapono,SF,6-8,213,"February 4, 1981",6,UCLA
Philadelphia 76ers,2009-10,20,Jodie Meeks,SG,6-4,210,"August 21, 1987",R,Kentucky
Philadelphia 76ers,2009-10,14,Jason Smith,PF,7-0,240,"March 2, 1986",1,Colorado State
Philadelphia 76ers,2009-10,16,Marreese Speights,C,6-10,255,"August 4, 1987",1,Florida
Philadelphia 76ers,2009-10,23,Lou Williams,PG,6-1,175,"October 27, 1986",4,
Philadelphia 76ers,2009-10,21,Thaddeus Young,PF,6-8,235,"June 21, 1988",2,Georgia Tech
Orlando Magic,2009-10,33,Ryan Anderson,PF,6-9,240,"May 6, 1988",1,California
Orlando Magic,2009-10,22,Matt Barnes,SF,6-7,226,"March 9, 1980",6,UCLA
Orlando Magic,2009-10,30,Brandon Bass,PF,6-8,250,"April 30, 1985",4,LSU
Orlando Magic,2009-10,15,Vince Carter,SG,6-6,220,"January 26, 1977",11,UNC
Orlando Magic,2009-10,13,Marcin Gortat,C,6-11,240,"February 17, 1984",2,
Orlando Magic,2009-10,12,Dwight Howard,C,6-10,265,"December 8, 1985",5,
Orlando Magic,2009-10,8,Anthony Johnson,PG,6-3,190,"October 2, 1974",12,College of Charleston
Orlando Magic,2009-10,9,Rashard Lewis,PF,6-10,215,"August 8, 1979",11,
Orlando Magic,2009-10,14,Jameer Nelson,PG,6-0,190,"February 9, 1982",5,Saint Joseph's
Orlando Magic,2009-10,20,Mickaël Piétrus,SF,6-6,215,"February 7, 1982",6,
Orlando Magic,2009-10,7,J.J. Redick,SG,6-3,200,"June 24, 1984",3,Duke
Orlando Magic,2009-10,44,Jason Williams,PG,6-1,190,"November 18, 1975",10,Marshall
Oklahoma City Thunder,2009-10,8,Antonio Anderson,SF,6-6,215,"June 5, 1985",R,Memphis
Oklahoma City Thunder,2009-10,40,Ryan Bowen,SF,6-7,215,"November 20, 1975",9,Iowa
Oklahoma City Thunder,2009-10,4,Nick Collison,C,6-10,255,"October 26, 1980",5,Kansas
Oklahoma City Thunder,2009-10,35,Kevin Durant,SF,6-10,240,"September 29, 1988",2,Texas
Oklahoma City Thunder,2009-10,22,Jeff Green,PF,6-8,235,"August 28, 1986",2,Georgetown
Oklahoma City Thunder,2009-10,13,James Harden,SG,6-5,220,"August 26, 1989",R,Arizona State
Oklahoma City Thunder,2009-10,9,Serge Ibaka,PF,6-10,235,"September 18, 1989",R,
Oklahoma City Thunder,2009-10,12,Nenad Krstić,C,7-0,240,"July 25, 1983",5,
Oklahoma City Thunder,2009-10,14,Shaun Livingston,PG,6-7,192,"September 11, 1985",4,
Oklahoma City Thunder,2009-10,6,Eric Maynor,PG,6-3,175,"June 11, 1987",R,VCU
Oklahoma City Thunder,2009-10,23,Byron Mullens,PF,7-0,275,"February 14, 1989",R,Ohio State
Oklahoma City Thunder,2009-10,7,Kevin Ollie,PG,6-4,195,"December 27, 1972",12,UConn
Oklahoma City Thunder,2009-10,2,Thabo Sefolosha,SG,6-6,215,"May 2, 1984",3,
Oklahoma City Thunder,2009-10,36,Etan Thomas,C,6-9,256,"April 1, 1978",7,Syracuse
Oklahoma City Thunder,2009-10,5,Kyle Weaver,SG,6-6,201,"February 18, 1986",1,Washington State
Oklahoma City Thunder,2009-10,0,Russell Westbrook,PG,6-3,200,"November 12, 1988",1,UCLA
Oklahoma City Thunder,2009-10,3,D.J. White,PF,6-9,251,"August 31, 1986",1,Indiana
Oklahoma City Thunder,2009-10,29,Mike Wilks,PG,5-10,185,"May 7, 1979",6,Rice University
New York Knicks,2009-10,30,Earl Barron,C,7-0,250,"August 14, 1981",3,Memphis
New York Knicks,2009-10,9,Jonathan Bender,SF,6-11,202,"January 30, 1981",7,
New York Knicks,2009-10,21,Wilson Chandler,SG,6-8,235,"May 10, 1987",2,DePaul
New York Knicks,2009-10,34,Eddy Curry,C,7-0,295,"December 5, 1982",8,
New York Knicks,2009-10,23,Toney Douglas,PG,6-2,195,"March 16, 1986",R,Auburn
New York Knicks,2009-10,1,Chris Duhon,PG,6-1,185,"August 31, 1982",5,Duke
New York Knicks,2009-10,8,Danilo Gallinari,SF,6-10,233,"August 8, 1988",1,
New York Knicks,2009-10,4,J.R. Giddens,SF,6-5,215,"February 13, 1985",1,Kansas
New York Knicks,2009-10,7,Al Harrington,PF,6-9,230,"February 17, 1980",11,
New York Knicks,2009-10,43,Jordan Hill,PF,6-10,235,"July 27, 1987",R,Arizona
New York Knicks,2009-10,50,Eddie House,SG,6-1,180,"May 14, 1978",9,Arizona State
New York Knicks,2009-10,0,Larry Hughes,SG,6-5,184,"January 23, 1979",11,Saint Louis
New York Knicks,2009-10,20,Jared Jeffries,PF,6-11,230,"November 25, 1981",7,Indiana
New York Knicks,2009-10,11,Marcus Landry,SF,6-7,230,"November 1, 1985",R,Wisconsin
New York Knicks,2009-10,42,David Lee,C,6-9,245,"April 29, 1983",4,Florida
New York Knicks,2009-10,3,Tracy McGrady,SG,6-8,210,"May 24, 1979",12,
New York Knicks,2009-10,31,Darko Miličić,C,7-0,250,"June 20, 1985",6,
New York Knicks,2009-10,2,Nate Robinson,PG,5-9,180,"May 31, 1984",4,Washington
New York Knicks,2009-10,13,Sergio Rodríguez,PG,6-3,176,"June 12, 1986",3,
New York Knicks,2009-10,5,Henry Walker,SG,6-6,220,"October 9, 1987",1,Kansas State
New Orleans Hornets,2009-10,12,Hilton Armstrong,PF,6-11,235,"November 11, 1984",3,UConn
New Orleans Hornets,2009-10,6,Bobby Brown,PG,6-2,175,"September 24, 1984",1,Cal State Fullerton
New Orleans Hornets,2009-10,23,Devin Brown,SG,6-5,220,"December 30, 1978",7,Texas-San Antonio
New Orleans Hornets,2009-10,2,Darren Collison,PG,6-0,175,"August 23, 1987",R,UCLA
New Orleans Hornets,2009-10,34,Aaron Gray,C,7-0,270,"December 7, 1984",2,Pitt
New Orleans Hornets,2009-10,11,Jason Hart,PG,6-3,185,"April 29, 1978",8,Syracuse
New Orleans Hornets,2009-10,4,Sean Marks,C,6-10,250,"August 23, 1975",9,California
New Orleans Hornets,2009-10,50,Emeka Okafor,C,6-10,252,"September 28, 1982",5,UConn
New Orleans Hornets,2009-10,3,Chris Paul,PG,6-0,175,"May 6, 1985",4,Wake Forest
New Orleans Hornets,2009-10,24,Morris Peterson,SG,6-7,218,"August 26, 1977",9,Michigan State
New Orleans Hornets,2009-10,41,James Posey,SF,6-8,215,"January 13, 1977",10,Xavier
New Orleans Hornets,2009-10,9,Darius Songaila,C,6-9,248,"February 14, 1978",6,Wake Forest
New Orleans Hornets,2009-10,16,Peja Stojaković,SF,6-10,229,"June 9, 1977",11,
New Orleans Hornets,2009-10,5,Marcus Thornton,SG,6-4,205,"June 5, 1987",R,LSU
New Orleans Hornets,2009-10,30,David West,PF,6-9,250,"August 29, 1980",6,Xavier
New Orleans Hornets,2009-10,32,Julian Wright,SF,6-8,225,"May 20, 1987",2,Kansas
Minnesota Timberwolves,2009-10,22,Corey Brewer,SG,6-9,186,"March 5, 1986",2,Florida
Minnesota Timberwolves,2009-10,14,Brian Cardinal,PF,6-8,245,"May 2, 1977",9,Purdue
Minnesota Timberwolves,2009-10,19,Wayne Ellington,SG,6-4,207,"November 29, 1987",R,UNC
Minnesota Timberwolves,2009-10,10,Jonny Flynn,PG,6-0,185,"February 6, 1989",R,Syracuse
Minnesota Timberwolves,2009-10,8,Ryan Gomes,SF,6-7,250,"September 1, 1982",4,Providence
Minnesota Timberwolves,2009-10,6,Jason Hart,PG,6-3,185,"April 29, 1978",8,Syracuse
Minnesota Timberwolves,2009-10,1,Ryan Hollins,C,7-0,240,"October 10, 1984",3,UCLA
Minnesota Timberwolves,2009-10,15,Nathan Jawai,C,6-10,280,"October 10, 1986",1,Midland College
Minnesota Timberwolves,2009-10,25,Al Jefferson,C,6-10,289,"January 4, 1985",5,
Minnesota Timberwolves,2009-10,42,Kevin Love,PF,6-8,251,"September 7, 1988",1,UCLA
Minnesota Timberwolves,2009-10,31,Darko Miličić,C,7-0,250,"June 20, 1985",6,
Minnesota Timberwolves,2009-10,11,Sasha Pavlović,SF,6-8,220,"November 15, 1983",6,
Minnesota Timberwolves,2009-10,4,Oleksiy Pecherov,C,7-0,232,"December 8, 1985",2,
Minnesota Timberwolves,2009-10,7,Ramon Sessions,PG,6-3,190,"April 11, 1986",2,Nevada
Minnesota Timberwolves,2009-10,29,Alando Tucker,SF,6-6,205,"February 11, 1984",2,Wisconsin
Minnesota Timberwolves,2009-10,3,Damien Wilkins,SF,6-6,225,"January 11, 1980",5,NC State
Milwaukee Bucks,2009-10,42,Charlie Bell,SG,6-3,200,"March 12, 1979",5,Michigan State
Milwaukee Bucks,2009-10,6,Andrew Bogut,C,7-0,260,"November 28, 1984",4,Utah
Milwaukee Bucks,2009-10,9,Primož Brezec,C,7-2,252,"October 2, 1979",7,
Milwaukee Bucks,2009-10,10,Carlos Delfino,SF,6-6,230,"August 29, 1982",4,
Milwaukee Bucks,2009-10,9,Francisco Elson,C,7-0,235,"February 28, 1976",6,California
Milwaukee Bucks,2009-10,50,Dan Gadzuric,C,6-11,240,"February 2, 1978",7,UCLA
Milwaukee Bucks,2009-10,7,Ersan İlyasova,PF,6-9,235,"May 15, 1987",1,
Milwaukee Bucks,2009-10,11,Royal Ivey,SG,6-3,200,"December 20, 1981",5,Texas
Milwaukee Bucks,2009-10,00,Darnell Jackson,PF,6-9,253,"November 7, 1985",1,Kansas
Milwaukee Bucks,2009-10,3,Brandon Jennings,PG,6-1,170,"September 23, 1989",R,
Milwaukee Bucks,2009-10,12,Luc Mbah a Moute,PF,6-8,230,"September 9, 1986",1,UCLA
Milwaukee Bucks,2009-10,23,Jodie Meeks,SG,6-4,210,"August 21, 1987",R,Kentucky
Milwaukee Bucks,2009-10,22,Michael Redd,SG,6-6,220,"August 24, 1979",9,Ohio State
Milwaukee Bucks,2009-10,13,Luke Ridnour,PG,6-2,175,"February 13, 1981",6,Oregon
Milwaukee Bucks,2009-10,15,John Salmons,SG,6-7,210,"December 12, 1979",7,Miami (FL)
Milwaukee Bucks,2009-10,24,Jerry Stackhouse,SG,6-6,218,"November 5, 1974",14,UNC
Milwaukee Bucks,2009-10,40,Kurt Thomas,C,6-9,230,"October 4, 1972",14,TCU
Milwaukee Bucks,2009-10,20,Roko Ukić,PG,6-5,183,"May 12, 1984",1,
Milwaukee Bucks,2009-10,21,Hakim Warrick,PF,6-9,219,"July 8, 1982",4,Syracuse
Miami Heat,2009-10,11,Rafer Alston,PG,6-2,171,"July 24, 1976",10,Fresno State
Miami Heat,2009-10,50,Joel Anthony,C,6-9,245,"August 9, 1982",2,UNLV
Miami Heat,2009-10,8,Carlos Arroyo,PG,6-2,202,"July 30, 1979",7,Florida International University
Miami Heat,2009-10,30,Michael Beasley,PF,6-9,235,"January 9, 1989",1,Kansas State
Miami Heat,2009-10,6,Mario Chalmers,PG,6-2,190,"May 19, 1986",1,Kansas
Miami Heat,2009-10,14,Daequan Cook,SG,6-5,205,"April 28, 1987",2,Ohio State
Miami Heat,2009-10,9,Yakhouba Diawara,SG,6-7,225,"August 29, 1982",3,Pepperdine
Miami Heat,2009-10,40,Udonis Haslem,PF,6-8,235,"June 9, 1980",6,Florida
Miami Heat,2009-10,22,James Jones,SF,6-8,218,"October 4, 1980",6,Miami (FL)
Miami Heat,2009-10,21,Jamaal Magloire,C,6-11,259,"May 21, 1978",9,Kentucky
Miami Heat,2009-10,7,Jermaine O'Neal,C,6-11,226,"October 13, 1978",13,
Miami Heat,2009-10,42,Shavlik Randolph,PF,6-10,240,"November 24, 1983",4,Duke
Miami Heat,2009-10,5,Quentin Richardson,SF,6-6,223,"April 13, 1980",9,DePaul
Miami Heat,2009-10,3,Dwyane Wade,SG,6-4,220,"January 17, 1982",6,Marquette
Miami Heat,2009-10,1,Dorell Wright,SF,6-9,205,"December 2, 1985",5,
Memphis Grizzlies,2009-10,00,Darrell Arthur,PF,6-9,235,"March 25, 1988",1,Kansas
Memphis Grizzlies,2009-10,9,Ronnie Brewer,SG,6-7,220,"March 20, 1985",3,Arkansas
Memphis Grizzlies,2009-10,1,DeMarre Carroll,SF,6-6,215,"July 27, 1986",R,Vanderbilt
Memphis Grizzlies,2009-10,11,Mike Conley,PG,6-1,175,"October 11, 1987",2,Ohio State
Memphis Grizzlies,2009-10,33,Marc Gasol,C,6-11,255,"January 29, 1985",1,
Memphis Grizzlies,2009-10,22,Rudy Gay,SF,6-8,250,"August 17, 1986",3,UConn
Memphis Grizzlies,2009-10,2,Trey Gilder,SF,6-9,185,"January 24, 1985",R,McNeese State University
Memphis Grizzlies,2009-10,15,Hamed Haddadi,C,7-2,254,"May 19, 1985",1,
Memphis Grizzlies,2009-10,25,Lester Hudson,PG,6-3,190,"August 7, 1984",R,University of Tennessee at Martin
Memphis Grizzlies,2009-10,45,Steven Hunter,C,7-0,220,"October 31, 1981",7,DePaul
Memphis Grizzlies,2009-10,3,Allen Iverson,PG,6-0,165,"June 7, 1975",13,Georgetown
Memphis Grizzlies,2009-10,32,O.J. Mayo,SG,6-5,210,"November 5, 1987",1,USC
